descripcion,habitaciones,banios,parqueaderos,area_construida,area_privada,estrato,estado,antiguedad,piso,administeracion,precio_m2,barrio
"Apartamento para la venta en belén rodeo alto, cuenta con tres alcobas, sector semi campestre con buenas rutas de transporte fácil acceso a la unidad, cuenta con piscina, juegos para niños, zona BBQ y zonas verdes, sector de alta valorización ideal para inversión, vista a la reserva natural, cerca a supermercados, tienda D1. 1092-1209.",4,3,,180 m²,180 m²,6,,,,No definida,"$ 5.261.111,11*m²",Rodeo Alto - Medellín - Antioquia
SE VENDE APARTAMENTO A MUY 3 habitaciones 1 baño cocina integral sala comedor balcón el 5o Piso con vista panorámica a la ciudad parqueadero común parque infantil zonas de encuentro vigilancia 24 horas monitoreo de cámaras varias rutas de buses más de 5 facil acceso a colegios universidades y centros comerciales tiendas en toda la puerta ppal Informes 300 220 2438,2,2,1,88 m²,88 m²,5,Bueno,16 a 30 años,,$ 560.000 COP,"$ 5.795.454,55*m²",Robledo Miramar - Medellín - Antioquia
"Apartamento para la venta en Pilarica, cerca del hospital Pablo Tobón Uribe, el tecnológico de Antioquia y el centro comercial Florida. Unidad residencial con portería 24 horas, parqueadero para visitantes, piscina, sauna, turco, juegos infantiles y amplias zonas verdes. El apartamento tiene un área de 63.63 Mt2, Tiene habitación principal con baño y vestier, 2 habitaciones auxiliares, amplio salón comedor con balcón y vista a la reserva, muy tranquilo, cocina integral moderna con zona de ropas independiente, parqueadero y cuarto útil. Precio $350 millones .",3,5,1,140 m²,0 m²,6,,1 a 8 años,,No definida,"$ 6.967.214,29*m²",La Pilarica - Medellín - Antioquia
"Código Arrendamientos Santa Fe V10891- Propiedad ubicada cerca al colegio Salazar y Herrera, con fácil acceso a rutas de transporte público y principales vías de la ciudad como la Avenida San Juan (Calle 44) y La Avenida 80..",2,2,,65 m²,0 m²,3,,9 a 15 años,,No definida,"$ 3.369.230,77*m²",La América - Medellín - Antioquia
"VEN ID HOUM: 97147 En Houm te ayudamos de forma fácil y segura. Los beneficios de comprar con nosotros: Te ayudamos a conseguir financiamiento a través de una asesoría personalizada Mediación y seguimiento de todo el proceso Ponemos a tu disposición profesionales en notariado, registro y asesoría jurídica ¡Solo te preocupas de las firmas! Departamento en venta, ubicado en el barrio Santa Margarita, con una superficie construida de 45.00 m² y superficie total de 45.00 m². Sus principales características son: mariposa 2 dormitorios 1 baño Admite mascotas Piso 30 Año de construcción: 2017 Cuarto de lavado Además, el inmueble cuenta con las siguientes amenidades: Salón de eventos Vigilancia 24 hrs Ascensor Zona de juegos Si compras con nosotros, te brindamos asesoría personalizada durante todo el proceso. ¡Comienza una nueva etapa con Houm! Compra fácil, rápido y seguro..",4,4,2,145 m²,140 m²,6,Excelente,1 a 8 años,4,$ 790.000 COP,"$ 5.379.310,34*m²",SANTA MARGARITA - Medellín - Antioquia
"La vista verde e iluminación de este apartamento son unos de sus principales atractivos. Habitaciones y espacios de áreas amplias, conjugados con un amplio balcón para divisar, todo esto acompañado de unas zonas comunes muy completas. ¡Contáctanos y conoce este imponente inmueble!.",3,3,2,120 m²,120 m²,6,,16 a 30 años,8,$ 462.000 COP,"$ 6.333.333,33*m²",Loma de los Bernal - Medellín - Antioquia
"Cómodo y amplio apartamento dúplex ubicado en américa los pinos, nos ofrece una área de 145 metros aproximadamente, sala, comedor, 5 alcobas, 5 closet, cocina integral, red de gas, 5 balcones, piso en retal de mármol, portería las 24 horas, salón social, cancha, juegos infantiles, parqueaderos comunes, paga una administración de $340.000.",2,2,2,111 m²,111 m²,6,Excelente,1 a 8 años,,$ 530.000 COP,"$ 8.108.108,11*m²",AMERICA - Medellín - Antioquia
"Apartamento en la zona de Castropol, en el Poblado, Amplio e iluminado apartamento en un área de 292 metros, cuenta con 3 habitaciones, cada una con baño y la principal con vestier, alcoba de servicio, cocina cerrada, Comedor Independiente y comedor auxiliar, Sala, Biblioteca, amplia zona de ropas, 3 garajes y cuarto útil. Excelente ubicación, cerca a la avenida del Poblado y también con salida a las Palmas. Cerca de Centro comercial y supermercados. . La unidad tiene piscina, kiosco, zona verde, Parqueadero de visitantes, Portería. Una oportunidad que no puedes perderte!!! .",4,4,1,137 m²,137 m²,6,Bueno,16 a 30 años,,$ 350.000 COP,"$ 3.503.649,64*m²",Castropol - Medellín - Antioquia
"Excelente apartamento muy bien ubicado, Area 68 metros, salacomedor, balcón 2 alcobas, bilbioteca o 3 alcoba 2 baños, cocina integral con red de gas, zona de ropas independiente garaje y cuarto útil, Unidad con salón social, juegos infantiles, turco terraza, cerca de parques del rio, zona muy resdencial .",3,3,2,112 m²,112 m²,6,,9 a 15 años,2,$ 490.000 COP,"$ 6.785.714,29*m²",Conquistadores - Medellín - Antioquia
"Una vista hermosa, cerca a todo. Centro comercial el Tesoro, mall del Este y Ansterdam, transporte a la mano, clinicas, universidades. Sala y comedor, 3 habitaciones, 2 de ellas con baño, baño social, alcoba del servicio con baño, balcón, cocina, zona de ropas. Unidad cerrada con piscina, gimnasio, salón social, juegos infantiles, turco. .",3,2,1,79 m²,79 m²,4,,16 a 30 años,,No definida,"$ 4.683.544,3*m²",El Poblado - Medellín - Antioquia
"Apartamento aprox de 42 m2 (Area por confirmar sobre escrituras), excelentes acabados, 2 ascensores por torre, amplios espacios y buena iluminación, cuenta con fácil acceso al transporte publico, ubicado en el sector del trapiche, cerca a el cai de valadares 679-48241.",2,3,1,118 m²,118 m²,5,Bueno,más de 30 años,1,$ 420.000 COP,"$ 5.932.203,39*m²",El Trapiche - Bello - Antioquia
"Área 55m², 3 alcobas todas con closet, principal con baño, más baño social, sala comedor amplio, cocina integral, zona de ropas, balcón, parqueadero privado cubierto, cuarto útil, ascensor, pisos terminados en cerámica, red de gas y calentador. Unidad cerrada con portería 24h, parqueadero de visitantes, zonas verdes, placa polideportiva, piscina, salón social, juegos infantiles, circuito cerrado de tv. Cerca de av 80, cc arkadia, excelentes rutas de transporte.",3,4,3,314 m²,314 m²,6,,1 a 8 años,,$ 1.186.800 COP,"$ 8.917.197,45*m²",Loma de los Bernal - Medellín - Antioquia
"Apartamento en venta en el sector de Simón Bolivar de Medellín, distribuido en 5 habitaciones, 1 patios, 3 baños, cocina integral, sala comedor, y parqueadero la principal ventaja de este apartamento es su excelente ubicación por estar Cercano al éxito de laureles, avenida 80 e iglesia la chinca, .",3,1,,45 m²,45 m²,2,,,1,No definida,"$ 3.111.111,11*m²",Simón Bolivar - Medellín - Antioquia
"Apartamento con un area de 69mts , 3 alcobas con closet, 2 baños, sala-comedor, zona de ropas, balcón, excelente iluminación, parqueadero cubierto y cuarto util. La unidad está ubicada cerca al cerro de las tres cruces y al euro de la Loma de los Bernal, cuenta con portería 24 horas, Piscina, Salón Social, Juegos Infantiles, Gimnasio, Sauna, Turco. .",3,5,1,345 m²,345 m²,6,Bueno,16 a 30 años,1,$ 1.200.000 COP,"$ 3.188.405,8*m²",BELEN LOMA DE LOS BERNAL - Medellín - Antioquia
"Laureles, Santa Teresita. Ubicado en el mejor sector de Laureles, éste apartamento tiene todo para darte la calidad de vida que sueñas: Sector caminable, cerca a centros comerciales, restaurantes, bancos, excelentes vías de acceso, además de una vista inmejorable y el mejor diseño! Anímate y pide una cita para que lo conozcas! Predial: $725.000 Trimestral .",2,1,,37 m²,37 m²,3,Bueno,9 a 15 años,3,$ 38.000 COP,$ 5.000.000*m²,Laureles - Medellín - Antioquia
"Apartamento de 71, 98 metros cuadrados de área construída (incluye mansarda) en buen estado de conservación, con buenos acabados, la cocina es con gas propano (pipeta) y ducha eléctrica en uno de los baños; en edificio con citófono. En sector con cercanía al Primer Parque de Laureles y a la Avenida San Juan, a colegios, universidades, supermercados, centros comerciales y por estar cerca a vía principal, cuenta con fácil acceso a transporte público..",3,2,1,58 m²,0 m²,4,,,11,$ 234.000 COP,"$ 5.879.310,34*m²",Laureles - Medellín - Antioquia
"Excelente punto, con muy buenos espacios iluminado y ventilado 5 piso con ascensor área 114 metros salón comedor, balcón 3 alcobas 2 baños, cocina integral cerrada zona de ropas independiente, y ampplia, alcoba de servicio , totalmente reformado garaje y cuarto útil Cerca a la Igllesia San Joaquin, a la universidad UPB a supermercados al corredor de la 70 .",3,5,1,154 m²,225 m²,5,,9 a 15 años,,$ 600.000 COP,"$ 7.337.662,34*m²",San Joaquin - Medellín - Antioquia
